,vendor_name,img,name,carbohydrates,fats,proteins,calories
28,3640863,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/cb/f1/335973c74aef42b91b5a9fc56270.jpg,"Фисташки солёные жареные неочищенные Маркет, 134г",29.0,40.0,20.0,560.0
29,4235532,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/58/32/931c368e0ef230c9270eb54124a4.jpg,"Фисташки NaturFoods солёные жареные неочищенные, 50г",17.0,52.0,22.0,620.0
30,3469303,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/fe/de/b7efc06324272b15a3a7c1b62650.jpg,"Семечки От Мартина чёрные отборные жареные с морской солью, 100г",5.0,52.9,20.7,578.0
31,3072541,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/c8/51/70b7089d1b16fa22ba32e20xd406.jpg,"Семечки От Мартина отборные жареные, 100г",5.0,52.9,20.7,578.0
32,3403508,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/d7/31/ee769ae8cd41fcc21883f2dd9f89.jpg,"Семечки От Мартина отборные жареные, 200г",5.0,52.9,20.7,578.0
33,3669122,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/8e/72/7b90835432f87f92e2b814184e62.jpg,"Семечки От Мартина отборные, 200г",5.0,52.9,20.7,578.0
34,3473272,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/78/0f/9d2a733e2222e1940fe69523b0c4.jpg,"Семечки подсолнечника жареные Пр!ст, 100г",5.8,65.3,25.5,710.0
35,3428415,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/4e/22/180a8bae72150fcb8045cd1700dd.jpg,"Смесь Семушка из жареных орехов и изюма, 150г",34.5,36.1,12.0,511.0
36,4027702,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/11/f9/253797e18730455760a548267881.jpg,"Смесь Семушка из орехов и клюквы, 100г",64.5,36.1,18.0,564.0
37,4086942,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/c1/d5/91520f1105c9c87c4216d6543133.jpg,"Смесь орехово-фруктовая Forest Фитнес, 80г",26.0,42.0,17.0,530.0
38,3645971,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/3e/f8/0221a99e5c9e3a8b4d343f472d51.jpg,"Смесь Grand Master Гурман, 550г",47.3,24.2,10.2,447.0
39,4262053,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/86/35/dxd7a112e37749f5b7569938e1a0.jpg,Смесь Сладкая из сушеных фруктов ягод орехов,50.0,24.0,10.6,458.4
40,4123485,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/0a/80/cdcf6858a17974106984bd7a5e6a.jpg,"Имбирь приготовленный методом осмотического обезвоживания с содержанием сахара, 140г",92.8,0.1,0.2,357.0
41,4274410,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/02/64/eeb4e0a4f5fe171198bed053c4cd.jpg,"Цукаты Лакомства Для Здоровья Имбирь в сахаре, 140г",80.0,0.1,0.3,322.1
42,4280249,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/a9/1f/8f5410a2abbb3539ff65741fc742.jpg,Цукаты ревеня,69.0,0.1,1.0,220.0
